posting_date,Item No_,Size,Color,Opening Inventory,Closing Inventory,Quantity,Sales,NetQuantity
2017-01-02,1067455,XL,52.0,293.0,292.0,-1.0,2.0,1.0
2017-01-02,1067455,XXL,52.0,183.0,181.0,-2.0,1.0,-1.0
2017-01-02,1070079,L,51.0,351.0,353.0,2.0,1.0,3.0
2017-01-02,1070079,M,51.0,213.0,211.0,-2.0,1.0,-1.0
2017-01-02,1070079,S,51.0,199.0,197.0,-2.0,1.0,-1.0
2017-01-02,1070553,S,18.0,417.0,415.0,-2.0,1.0,-1.0
2017-01-03,1070079,L,51.0,353.0,348.0,-5.0,1.0,-4.0
2017-01-03,1070079,M,51.0,211.0,208.0,-3.0,1.0,-2.0
2017-01-03,1070079,S,51.0,197.0,194.0,-3.0,1.0,-2.0
2017-01-03,1070079,XXL,51.0,213.0,209.0,-4.0,2.0,-2.0
2017-01-04,1069895,XL,50.0,345.0,344.0,-1.0,2.0,1.0
2017-01-05,1070043,XS,52.0,202.0,198.0,-4.0,6.0,2.0
2017-01-06,1070154,L,52.0,427.0,425.0,-2.0,3.0,1.0
2017-01-06,1070154,M,52.0,271.0,269.0,-2.0,3.0,1.0
2017-01-06,1070154,XL,52.0,285.0,275.0,-10.0,8.0,-2.0
2017-01-09,1070076,L,53.0,182.0,180.0,-2.0,1.0,-1.0
2017-01-09,1070079,S,51.0,194.0,190.0,-4.0,3.0,-1.0
2017-01-09,1070882,S,10.0,315.0,310.0,-5.0,4.0,-1.0
2017-01-10,1070043,XS,52.0,180.0,177.0,-3.0,2.0,-1.0
2017-01-10,1070073,L,52.0,236.0,232.0,-4.0,2.0,-2.0
2017-01-10,1070099,L,50.0,374.0,371.0,-3.0,2.0,-1.0
2017-01-10,1070099,M,50.0,317.0,315.0,-2.0,1.0,-1.0
2017-01-10,1070099,S,50.0,213.0,211.0,-2.0,1.0,-1.0
2017-01-10,1070156,M,2.0,302.0,299.0,-3.0,1.0,-2.0
2017-01-10,1070156,XXL,2.0,242.0,239.0,-3.0,1.0,-2.0
2017-01-10,1070157,L,52.0,244.0,241.0,-3.0,1.0,-2.0
2017-01-10,1070157,S,52.0,105.0,102.0,-3.0,2.0,-1.0
2017-01-10,1070157,XL,52.0,220.0,217.0,-3.0,1.0,-2.0
2017-01-10,1071675,S,4.0,196.0,192.0,-4.0,5.0,1.0
2017-01-11,1067743,L,18.0,182.0,180.0,-2.0,1.0,-1.0
2017-01-11,1072205,XXL,10.0,34.0,34.0,0.0,1.0,1.0
2017-01-12,1070043,XS,52.0,172.0,172.0,0.0,1.0,1.0
2017-01-12,1070074,L,2.0,428.0,426.0,-2.0,3.0,1.0
2017-01-12,1070099,L,50.0,369.0,369.0,0.0,1.0,1.0
2017-01-12,1070099,M,50.0,314.0,314.0,0.0,1.0,1.0
2017-01-12,1070099,S,50.0,208.0,209.0,1.0,0.0,1.0
2017-01-12,1070099,XL,50.0,213.0,211.0,-2.0,3.0,1.0
2017-01-12,1070099,XXL,50.0,186.0,186.0,0.0,1.0,1.0
2017-01-12,1070149,M,99.0,0.0,-2.0,-2.0,1.0,-1.0
2017-01-12,1070149,XL,99.0,0.0,-2.0,-2.0,1.0,-1.0
2017-01-12,1070154,XXL,52.0,149.0,149.0,0.0,1.0,1.0
2017-01-12,1070195,L,14.0,251.0,251.0,0.0,1.0,1.0
2017-01-12,1071675,L,4.0,307.0,292.0,-15.0,16.0,1.0
2017-01-13,1067455,XXL,52.0,151.0,144.0,-7.0,8.0,1.0
2017-01-13,1070154,M,52.0,262.0,257.0,-5.0,6.0,1.0
2017-01-13,1072204,M,52.0,315.0,311.0,-4.0,5.0,1.0
2017-01-15,1070099,XL,50.0,206.0,203.0,-3.0,2.0,-1.0
2017-01-15,1070550,S,41.0,249.0,249.0,0.0,1.0,1.0
2017-01-16,1070053,S,13.0,-15.0,-14.0,1.0,1.0,2.0
2017-01-16,1070053,XL,13.0,-12.0,-15.0,-3.0,2.0,-1.0
2017-01-16,1070055,M,1.0,450.0,450.0,0.0,1.0,1.0
2017-01-16,1070055,XL,1.0,213.0,213.0,0.0,1.0,1.0
2017-01-16,1070055,XS,1.0,208.0,208.0,0.0,1.0,1.0
2017-01-16,1070148,XXL,51.0,339.0,337.0,-2.0,1.0,-1.0
2017-01-16,1070205,L,13.0,-10.0,-10.0,0.0,1.0,1.0
2017-01-16,1070205,M,13.0,-11.0,-13.0,-2.0,1.0,-1.0
2017-01-16,1071675,M,4.0,399.0,395.0,-4.0,3.0,-1.0
2017-01-16,1072139,M,52.0,-14.0,-17.0,-3.0,2.0,-1.0
2017-01-17,1070088,L,10.0,-8.0,-11.0,-3.0,2.0,-1.0
2017-01-17,1070088,M,10.0,-6.0,-8.0,-2.0,1.0,-1.0
2017-01-17,1070088,S,10.0,-3.0,-5.0,-2.0,1.0,-1.0
2017-01-17,1070088,XL,10.0,-4.0,-6.0,-2.0,1.0,-1.0
2017-01-17,1070162,XXL,51.0,0.0,-3.0,-3.0,1.0,-2.0
2017-01-17,1070164,M,33.0,201.0,200.0,-1.0,2.0,1.0
2017-01-17,1071675,S,4.0,165.0,164.0,-1.0,2.0,1.0
2017-01-18,1070046,S,10.0,-25.0,-27.0,-2.0,3.0,1.0
2017-01-18,1070054,S,1.0,269.0,267.0,-2.0,3.0,1.0
2017-01-18,1070071,M,16.0,-18.0,-23.0,-5.0,6.0,1.0
2017-01-18,1070071,S,16.0,-16.0,-18.0,-2.0,3.0,1.0
2017-01-18,1070077,L,52.0,0.0,-3.0,-3.0,1.0,-2.0
2017-01-18,1070077,M,52.0,1.0,-3.0,-4.0,3.0,-1.0
2017-01-18,1070077,S,52.0,0.0,-2.0,-2.0,1.0,-1.0
2017-01-18,1070077,XL,52.0,-1.0,-2.0,-1.0,-1.0,-2.0
2017-01-18,1070079,L,51.0,320.0,319.0,-1.0,3.0,2.0
